category,description,full_price,name_of_item,number_of_reviews,rating,sale_price,type_color_available,url
top rated,long-sleeve capilene cool daily graphic shirt - women's,65.0,patagonia,10,5.0,,"boardshort logo/grey/white, channel islands/subtidal blue, fitz roy trout/feather grey, fitz roy tarpon/wispy green, expand color swatches",https://www.rei.com/product/216951/patagonia-long-sleeve-capilene-cool-daily-graphic-shirt-womens
top rated,endorphin speed 4 road-running shoes - women's,170.0,saucony,14,4.6,,,https://www.rei.com/product/228819/saucony-endorphin-speed-4-road-running-shoes-womens
new arrival,"generator v-tech stand up paddle board - 11'6""",1360.0,surftech,1,5.0,,,https://www.rei.com/product/220536/surftech-generator-v-tech-stand-up-paddle-board-116
new arrival,swoosh medium support bra,40.0,nike,65,4.4,,"white/stone mauve/black, black/white, smokey mauve/white, light armory blue/white, expand color swatches",https://www.rei.com/product/224329/nike-swoosh-medium-support-bra
new arrival,945rd-2401 mini osborne knife - shot limited edition,270.0,benchmade,,,,,https://www.rei.com/product/239299/benchmade-945rd-2401-mini-osborne-knife-shot-limited-edition
new arrival,ace button-down shirt- men's,84.0,vuori,1,5.0,,"cashew, charcoal, light grey",https://www.rei.com/product/228072/vuori-ace-button-down-shirt-mens
top rated,rope sling bag - special edition,60.0,kavu,108,4.6,41.93,"succulents, side step, forest folklore, raven, expand color swatches",https://www.rei.com/product/147942/kavu-rope-sling-bag-special-edition
new arrival,vintage ripstop utility shorts - women's,74.0,vuori,,,,"army, charcoal, milkweed, soft pewter, expand color swatches",https://www.rei.com/product/227775/vuori-vintage-ripstop-utility-shorts-womens
top rated,"rolling sun 7"" packable shorts - men's",65.0,the north face,132,4.7,,"steel blue, khaki stone, stone brown, tnf black, shady blue, yellow silt, expand color swatches",https://www.rei.com/product/203255/the-north-face-rolling-sun-7-packable-shorts-mens
new arrival,big ez air stowaway lite stand up inflatable paddle board with paddle - 11',599.0,pau hana,,,,,https://www.rei.com/product/233146/pau-hana-big-ez-air-stowaway-lite-stand-up-inflatable-paddle-board-with-paddle-11
new arrival,ultrarange neo vr3 shoes - men's,125.0,vans,,,,"black/white, light green/black, true white",https://www.rei.com/product/228054/vans-ultrarange-neo-vr3-shoes-mens
top rated,wide-mouth vacuum water bottle - 32 fl. oz.,51.95,hydro flask,1446,4.6,49.95,"black, white, treefort, tanglewood, wildside, expand color swatches",https://www.rei.com/product/168732/hydro-flask-wide-mouth-vacuum-water-bottle-32-fl-oz
new arrival,biker cham cycling shorts - women's,98.0,shredly,8,3.5,,"noir, stardust shimmer",https://www.rei.com/product/228085/shredly-biker-cham-cycling-shorts-womens
top rated,panga 75 dry duffel,350.0,yeti,329,4.8,,"tan, storm gray, orange/black",https://www.rei.com/product/124134/yeti-panga-75-dry-duffel
top rated,moab adventure 3 waterproof shoes - men's,130.0,merrell,15,4.5,,,https://www.rei.com/product/230831/merrell-moab-adventure-3-waterproof-shoes-mens
top rated,long-sleeve capilene cool daily graphic shirt - men's,65.0,patagonia,11,5.0,,"boardshort logo/white, fitz roy trout/pumice x-dye, fitz roy tarpon/wispy green",https://www.rei.com/product/216809/patagonia-long-sleeve-capilene-cool-daily-graphic-shirt-mens
new arrival,"quandary 8"" shorts - men's",85.0,patagonia,1,5.0,,"forge grey, buckhorn green, classic tan, tree ring brown, expand color swatches",https://www.rei.com/product/228396/patagonia-quandary-8-shorts-mens
new arrival,uluwatu 24 water hoodie - men's,78.0,vuori,,,,"platinum heather, charcoal heather",https://www.rei.com/product/228480/vuori-uluwatu-24-water-hoodie-mens
top rated,baby sun bucket hat - infants'/toddlers',35.0,patagonia,11,5.0,,"lagom blue/drew and lobby, amigos vessel blue, little isla/milled yellow",https://www.rei.com/product/126693/patagonia-baby-sun-bucket-hat-infantstoddlers
new arrival,breeze cross ace-tec stand up paddle board - 11',999.95,tahe,,,,,https://www.rei.com/product/232997/tahe-breeze-cross-ace-tec-stand-up-paddle-board-11
new arrival,outpost hammock stand,499.95,kammok,14,4.2,,,https://www.rei.com/product/234178/kammok-outpost-hammock-stand
new arrival,long-sleeve capilene silkweight shirt - kids',45.0,patagonia,,,,"water people gator, ridge rise/moonlight peaceful, p-5 outline vessel blue, boardshort logo wispy green, alpine icon white, expand color swatches",https://www.rei.com/product/216736/patagonia-long-sleeve-capilene-silkweight-shirt-kids
top rated,"swiftland 5"" running shorts - men's",59.95,rei co-op,105,4.6,29.83,"black, sunrise saragasso sea, crater teal, blue nights, solar red, expand color swatches",https://www.rei.com/product/202645/rei-co-op-swiftland-5-running-shorts-mens
top rated,st. barth reversible swimsuit bottoms - women's,58.0,carve designs,46,4.5,,"penny/black, azul/ice, black/navy, tropical/cilantro, expand color swatches",https://www.rei.com/product/147579/carve-designs-st-barth-reversible-swimsuit-bottoms-womens
new arrival,mandala climbing shoes,209.0,la sportiva,,,,,https://www.rei.com/product/229743/la-sportiva-mandala-climbing-shoes
new arrival,velosamba leather cycling shoes,150.0,adidas,5,4.2,,"white, legend ink",https://www.rei.com/product/228061/adidas-velosamba-leather-cycling-shoes
top rated,all day one-piece swimsuit - women's,110.0,carve designs,8,4.8,,"tropical, azul/ice",https://www.rei.com/product/216595/carve-designs-all-day-one-piece-swimsuit-womens
new arrival,corax harness,79.95,petzl,1,5.0,,"dark gray, navy blue, dark red",https://www.rei.com/product/232859/petzl-corax-harness
new arrival,mesa trail ii shoes - men's,120.0,xero shoes,1,5.0,,,https://www.rei.com/product/230337/xero-shoes-mesa-trail-ii-shoes-mens
new arrival,highspeed bike rack,289.0,yakima,,,,,https://www.rei.com/product/233398/yakima-highspeed-bike-rack
new arrival,premonition ul jacket - men's,430.0,mountain hardwear,1,5.0,,"blue slate, state orange",https://www.rei.com/product/229943/mountain-hardwear-premonition-ul-jacket-mens
new arrival,active pursuits sports bra,49.95,rei co-op,38,3.8,,"black, magenta crest, saragasso sea, cloud cover crater teal, fluid flow fresh peri, expand color swatches",https://www.rei.com/product/216376/rei-co-op-active-pursuits-sports-bra
new arrival,"clipper 126w inflatable stand up paddle board - 12'6""",995.0,nrs,,,,,https://www.rei.com/product/232934/nrs-clipper-126w-inflatable-stand-up-paddle-board-126
top rated,cormac downword t-shirt - men's,70.0,arc'teryx,8,4.5,,"black heather, atmos heather, dark blue tetra heather, arctic silk heather, expand color swatches",https://www.rei.com/product/218814/arcteryx-cormac-downword-t-shirt-mens
