category,description,full_price,name_of_item,number_of_reviews,rating,sale_price,type_color_available,url
Top Rated,Active Pursuits Tank Top - Women's,$24.95,REI Co-op,6,4.5,,"Black, Alloy gray heather, Saragasso sea",/product/228417/rei-co-op-active-pursuits-tank-top-womens
New arrival,Hot Laps 5 L Bike Hydration Waist Pack - 2 Liters,$100.00,DAKINE,9,4.3, $59.93,"Black, Griffin tree line, Naval academy, Vintage camo, Deep lake, Expand color swatches",/product/185711/dakine-hot-laps-5-l-bike-hydration-waist-pack-2-liters
New arrival,Summer Light Sun Hoodie - Men's,$80.00,The North Face,,,,"White dune/gravel, Khaki stone/vivid flame",/product/229485/the-north-face-summer-light-sun-hoodie-mens
New arrival,Magware Magnetic Bowls and Plates - 8-Piece Set,$119.95,Full Windsor,,,,,/product/233287/full-windsor-magware-magnetic-bowls-and-plates-8-piece-set
New arrival,"Cruise Board Shorts - Men's 18.5"" Outseam",$74.00,Vuori,44,4.4, $58.93,"Clove wave stripe, Bronze micro dot, Port flux, Marble jungle, Kashmir colorblock, Kashmir contigo, Sagebrush wave stripe, Black, Neptune micro dot, Expand color swatches",/product/113111/vuori-cruise-board-shorts-mens-185-outseam
New arrival,Lutry Suede Clogs - Women's,$150.00,Birkenstock,,,,"Lutry grey taupe, Lutry elemental blue, Lutry black",/product/229572/birkenstock-lutry-suede-clogs-womens
New arrival,Collapsible Water Bottle - 25 fl. oz.,$31.95,Hydaway,4,5.0,,"Twilight, Midnight, Seaside",/product/234347/hydaway-collapsible-water-bottle-25-fl-oz
New arrival,Original Chair,$59.95,Crazy Creek,35,4.3,,"Green, Black w/blue text, Purple/teal",/product/199537/crazy-creek-original-chair
New arrival,Aerios Shade Hat,$70.00,Arc'teryx,,,,"Black, Velocity",/product/228149/arcteryx-aerios-shade-hat
Just for Members,"Beach SUP-Yak Inflatable Stand Up Paddle Board with Paddle - 10'6""",$699.95,TAHE,,,,,/product/232993/tahe-beach-sup-yak-inflatable-stand-up-paddle-board-with-paddle-106
Top Rated,RollR 45 Wheeled Cooler,$349.00,RovR Products,62,4.6,,"Sand, Glacier, Bluebird",/product/220499/rovr-products-rollr-45-wheeled-cooler
